"DisplayName","DisplayVersion","Publisher","InstallLocation","UninstallString"
"Microsoft Visual C++ v14 Redistributable (x86) - 14.51.36247","14.51.36247.0","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{9a6ce18d-11c0-4452-aa35-9f2b8437c686}\VC_redist.x86.exe""  /uninstall"
"Microsoft Visual Studio Code","1.132.0","Microsoft Corporation","C:\Program Files\Microsoft VS Code\","""C:\Program Files\Microsoft VS Code\unins000.exe"""
"Microsoft Visual Studio Installer","4.9.50.62957","Microsoft Corporation","""C:\Program Files (x86)\Microsoft Visual Studio\Installer""","""C:\Program Files (x86)\Microsoft Visual Studio\Installer\setup.exe"" /uninstall"
"Microsoft Visual Studio Setup Configuration","3.12.2140.44225","Microsoft Corporation","","MsiExec.exe /I{D07657AA-968C-4629-BD6C-1B52AF825EA7}"
"Microsoft Visual Studio Setup WMI Provider","3.12.2140.44225","Microsoft Corporation","","MsiExec.exe /I{49727420-70BA-4495-9405-31F8D711CB5A}"
"Microsoft Windows Desktop Runtime - 10.0.11 (x64)","80.44.56884","Microsoft Corporation","","MsiExec.exe /X{042FE0BF-0E19-47E0-8864-22F483C784E6}"
"Microsoft Windows Desktop Runtime - 10.0.11 (x86)","80.44.56884","Microsoft Corporation","","MsiExec.exe /X{9B309846-9934-42DA-8897-39B7D106321B}"
"Microsoft Windows Desktop Runtime - 6.0.36 (x64)","48.144.23186","Microsoft Corporation","","MsiExec.exe /X{61D4736B-3325-4D4A-BD41-8BD206C6A86E}"
"Microsoft Windows Desktop Runtime - 6.0.36 (x64)","6.0.36.34217","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{0532b8f2-12d7-43de-95fc-7b87006758a8}\windowsdesktop-runtime-6.0.36-win-x64.exe""  /uninstall"
"Microsoft Windows Desktop Runtime - 8.0.30 (x64)","64.120.56881","Microsoft Corporation","","MsiExec.exe /X{6784D4C7-0D5A-468F-A27D-4B687DC16EFF}"
"Microsoft Windows Desktop Runtime - 8.0.30 (x64)","8.0.30.36323","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{d374321a-d08b-4207-8ef4-6953f782a26c}\windowsdesktop-runtime-8.0.30-win-x64.exe""  /uninstall"
"Microsoft Windows Desktop Runtime - 9.0.19 (x64)","72.76.56849","Microsoft Corporation","","MsiExec.exe /X{8DDA0C5E-EE0E-4ADC-ADC4-1A816363A3D2}"
"Microsoft Windows Desktop Runtime - 9.0.19 (x64)","9.0.19.36321","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{7a013c32-dd46-48f5-81b1-2576c92468db}\windowsdesktop-runtime-9.0.19-win-x64.exe""  /uninstall"
"Microsoft Windows Desktop Runtime 10.0.11 (x64)","10.0.11.50000","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{96749152-C361-49E0-BAC6-818F491B9276}\windowsdesktop-runtime-10.0.11-win-x64.exe""  /uninstall"
"Microsoft Windows Desktop Runtime 10.0.11 (x86)","10.0.11.50000","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{6E0832BF-4768-419E-9077-5BA3D2CC51D1}\windowsdesktop-runtime-10.0.11-win-x86.exe""  /uninstall"
"Mozilla Maintenance Service","1.21.14b","Mozilla",,"""C:\Program Files (x86)\Mozilla Maintenance Service\uninstall.exe"""
"MSI Afterburner 4.6.6","4.6.6","MSI Co., LTD",,"""C:\Program Files (x86)\MSI Afterburner\uninstall.exe"""
"MSI Development Tools","10.1.26100.7705","Microsoft Corporation","","MsiExec.exe /I{06671634-35F4-43F1-1B57-68B7CE54E5B3}"
"Node.js","22.23.2","Node.js Foundation","","MsiExec.exe /I{D9606E8F-44C3-4F42-9165-0F62294FDD4B}"
"Notepad++ (64-bit x64)","8.9.7","Notepad++ Team",,"""C:\Program Files\Notepad++\uninstall.exe"""
"NVCleanstall","1.19.0","TechPowerUp","C:\Program Files\NVCleanstall\","""C:\Program Files\NVCleanstall\unins000.exe"""
"NVIDIA Install Application","2.1002.463.0","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore",
"NVIDIA Logiciel système PhysX 9.23.1019","9.23.1019","NVIDIA Corporation","C:\Program Files (x86)\NVIDIA Corporation\PhysX","""C:\WINDOWS\SysWOW64\RunDll32.EXE"" ""C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.DLL"",UninstallPackage Display.PhysX"
"NVIDIA Pilote audio HD 1.4.5.7","1.4.5.7","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\Installer2\HDAudio.Driver.{BA4A750D-BB5C-4BBF-8F5A-FE6F2CB203FA}","""C:\WINDOWS\SysWOW64\RunDll32.EXE"" ""C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.DLL"",UninstallPackage HDAudio.Driver"
"NVIDIA Pilote graphique 610.88","610.88","NVIDIA Corporation","C:\Program Files\NVIDIA Corporation\Installer2\Display.Driver.{7A383B2D-1EFE-4EF0-943E-4311CDD87156}","""C:\WINDOWS\SysWOW64\RunDll32.EXE"" ""C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.DLL"",UninstallPackage Display.Driver"
"NZXT CAM 4.76.5","4.76.5","NZXT, Inc.",,"""C:\Program Files\NZXT CAM\Uninstall NZXT CAM.exe"" /allusers"
"OBS Studio","32.2.1","OBS Project",,"""C:\Program Files\obs-studio\uninstall.exe"""
"Ollama version 0.32.11","0.32.11","Ollama","G:\Ollama\","""G:\Ollama\unins000.exe"""
"OpenSSL Light 4.0.0 (64-bit)","4.0.0","Shining Light Productions","","MsiExec.exe /I{BFC8A3C6-954A-43FA-8FBA-95D58118C70A}"
"Overwatch",,"Blizzard Entertainment","E:\Jeux\Overwatch","""C:\ProgramData\Battle.net\Agent\Blizzard Uninstaller.exe"" --lang=frFR --uid=prometheus --displayname=""Overwatch"""
"Pandoc 3.10.2","3.10.2","John MacFarlane","C:\Program Files\Pandoc\","MsiExec.exe /X{C5C3F6A0-B97F-47EA-8F48-FC69BF76E549}"
