"Drive","Path","Name","Extension","SizeGB","SizeMB","LastWrite","Type"
"C","C:\Users\enrik\AppData\Local\NVIDIA\GLCache\c30d67effd5a80bf51a0817799acf3c8\96df249bb179d595\946278c574973d08.bin","946278c574973d08.bin",".bin","0,002","2,5","13/08/2026 16:30:54","Model/File"
"C","C:\ProgramData\NVIDIA Corporation\Drs\nvdrsdb0.bin","nvdrsdb0.bin",".bin","0,002","2,5","14/08/2026 11:23:31","Model/File"
"G","G:\AI\E-zzio\.venv\Lib\site-packages\pipecat\audio\vad\data\silero_vad.onnx","silero_vad.onnx",".onnx","0,002","2,2","13/08/2026 21:03:34","Model/File"
"C","C:\Users\enrik\AppData\Local\NVIDIA\GLCache\c30d67effd5a80bf51a0817799acf3c8\96df249bb179d595\946278c574973d09.bin","946278c574973d09.bin",".bin","0,002","1,6","02/08/2026 13:58:03","Model/File"
"C","C:\ProgramData\NVIDIA Corporation\Drs\nvdrsdb1.bin","nvdrsdb1.bin",".bin","0,002","2,5","14/08/2026 10:18:50","Model/File"
"C","C:\Users\enrik\AppData\Local\Microsoft\GameDVR\KnownGameList.bin","KnownGameList.bin",".bin","0,002","1,8","12/07/2026 16:15:12","Model/File"
"C","C:\Users\enrik\AppData\Roaming\uv\python\cpython-3.11.15-windows-x86_64-none\Lib\ensurepip\_bundled\pip-24.0-py3-none-any.whl","pip-24.0-py3-none-any.whl",".whl","0,002","2","16/07/2026 15:26:10","Model/File"
"C","C:\Users\enrik\AppData\Roaming\uv\python\cpython-3.14.5-windows-x86_64-none\Lib\ensurepip\_bundled\pip-26.1.1-py3-none-any.whl","pip-26.1.1-py3-none-any.whl",".whl","0,002","1,7","29/05/2026 00:26:26","Model/File"
"C","C:\Users\enrik\AppData\Local\librewolf\Profiles\v46y8z83.default-default\startupCache\scriptCache-child-current.bin","scriptCache-child-current.bin",".bin","0,001","0,7","21/07/2026 16:18:28","Model/File"
"C","C:\ProgramData\GOG.com\Galaxy\redists\overlay\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,6","05/08/2026 15:54:06","Model/File"
"C","C:\Users\enrik\AppData\Local\Programs\ReviewTool.gg\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,7","01/08/2026 15:16:30","Model/File"
"C","C:\Users\enrik\AppData\Local\Programs\wago-app\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,7","07/06/2026 14:20:54","Model/File"
"C","C:\Users\enrik\AppData\Local\VortxEngine\app-2.5.74\Signal-x64\resources\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,6","28/07/2026 00:04:52","Model/File"
"C","C:\Users\enrik\AppData\Local\Programs\Archon App\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,7","24/03/2026 19:14:22","Model/File"
"C","C:\Users\enrik\AppData\Local\TopHeroes\app-1.113.11\TopHeroes_Data\Plugins\x86_64\VuplexWebViewChromium\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,6","15/07/2026 14:48:37","Model/File"
"C","C:\Users\enrik\AppData\Local\Packages\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\TempState\TileCache_100_3_PNGEncoded_Data.bin","TileCache_100_3_PNGEncoded_Data.bin",".bin","0,001","0,6","04/08/2026 17:29:09","Model/File"
"C","C:\Users\enrik\AppData\Local\Programs\ReviewTool.gg\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,7","01/08/2026 15:16:30","Model/File"
"C","C:\Users\enrik\AppData\Local\TopHeroes\packages\workDir\TopHeroes_Data\Plugins\x86_64\VuplexWebViewChromium\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,6","15/07/2026 14:48:37","Model/File"
"G","G:\AI\E-zzio\.venv\Lib\site-packages\faster_whisper\assets\silero_vad_v6.onnx","silero_vad_v6.onnx",".onnx","0,001","1,2","13/08/2026 21:09:59","Model/File"
"C","C:\Users\enrik\AppData\Local\TopHeroes\app-1.115.11\TopHeroes_Data\Plugins\x86_64\VuplexWebViewChromium\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,6","15/07/2026 14:48:37","Model/File"
"C","C:\ProgramData\LGHUB\depots\824196\core\LGHUB\v8_context_snapshot.bin","v8_context_snapshot.bin",".bin","0,001","0,7","11/08/2026 19:56:44","Model/File"
"C","C:\Users\enrik\AppData\Local\zen\Profiles\45jchyg8.Default (release)\startupCache\scriptCache-child.bin","scriptCache-child.bin",".bin","0,001","0,7","22/07/2026 16:33:00","Model/File"
